Артикул;Свободный остаток;Оптовая
31/160-PC;1;4244;
31/161-PC;37;4244;
31/165-PC;15;4244;
31/166-PC;10;4244;
31/167-PC;2;4244;
31/173-PC;37;4244;
31/176-PC;63;4244;
31/177-PC;160;4244;
31/178-PC;126;4244;
31/179-PC;99;4244;
31/181-PC;57;4244;
31/182-PC;42;4244;
31/183-PC;31;4244;
31/184-PC;181;4244;
31/185-PC;30;4244;
31/186-PC;1;4244;
31/187-PC;6;4244;
31/188-PC;12;4244;
31/190-PC;48;4244;
31/191-PC;10;4244;
31/192-PC;18;4244;
31/193-PC;13;4244;
31/196-PC;50;4244;
31/197-PC;75;4244;
31/198-PC;73;4244;
31/199-PC;94;4244;
31/200-PC;80;4244;
31/201-PC;101;4244;
31/202-PC;62;4244;
31/203-PC;52;4244;
31/204-PC;67;4244;
31/205-PC;60;4244;
31/206-PC;51;4244;
31/207-PC;5;4244;
31/208-PC;18;4244;
31/209-PC;48;4244;
31/210-PC;57;4244;
30/148-PC;3;1937;
15/108-PC;4;2374;
15/113-PC;1;2374;
15/122(2)-PC;1;1100;
15/155-PC;3;2374;
15/161-PC;4;2374;
15/165-PC;4;2374;
15/166-PC;18;2374;
15/167-PC;1;2374;
15/176-PC;61;2374;
15/177-PC;138;2374;
15/178-PC;105;2374;
15/179-PC;54;2374;
15/181-PC;41;2374;
15/182-PC;32;2374;
15/183-PC;65;2374;
15/184-PC;94;2374;
15/185-PC;16;2374;
15/186-PC;12;2374;
15/187-PC;45;2374;
15/188-PC;6;2374;
15/190-PC;66;2374;
15/191-PC;68;2374;
15/192-PC;12;2374;
15/193-PC;30;2374;
15/196-PC;49;2374;
15/197-PC;73;2374;
15/198-PC;88;2374;
15/199-PC;80;2374;
15/200-PC;83;2374;
15/201-PC;102;2374;
15/202-PC;49;2374;
15/203-PC;2;2374;
15/204-PC;62;2374;
15/205-PC;14;2374;
15/206-PC;57;2374;
15/207-PC;15;2374;
15/208-PC;29;2374;
15/209-PC;82;2374;
15/210-PC;62;2374;
41/002-LE;1;8110;
41/007-LE;1;8110;
41/009-LE;1;8110;
31/001-LE;1;6639;
31/003-LE;25;6639;
31/009-LE;1;6639;
31/011-LE;1;6639;
15/005-SS;1;2375;
20/693-SK;57;4666;
20/695-SK;82;4666;
20/706-SK;62;4666;
