"Категория товара";Коллекция;Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Причина Уценки";Внимание;Размер;"Ткань низ";"Вес изделия в упаковке";"Тип печати";Состав;Номенклатура;Количество;Цена;МРРЦ;Фото;Описание
"Комплект постельного белья";;СайлиД;Китай;;Сайлид-L-евро-2;Евро;;;"50х70 (2шт.)+70х70 (2шт.)";200х220;230х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514888;;;;;"Тональность изделия может отличаться от фото";;;;;;"L-2 КПБ Евро сатин Однотонный ""САЙЛИД""";1;2778;3795;http://alvitek.com.ru/upload/iblock/8f0/8f00ab0f691dbc37035914b655113d58.jpeg;
Полотенце;;;;;7-Я-9803-А-384;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925552224;;;;;;;;;;;"9803-А-384 Кухонное Ассорти М-Ве 34х75 (12) полотенце 7-Я";8;1054;0;http://alvitek.com.ru/upload/iblock/098/09840c9becc9238e91d5c3e2cb999d11.jpeg;
"Одеяло байковое";;Ермолино;Россия;;"ОБ-215х150 5772ВЖК-темно";150х215;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925531953;;Серый;;;"Тональность изделия может отличаться от фото";;;;;"100% хлопок";"Темно-Серое Ажур 5772ВЖК 215х150 100% х/б Байковое жак  Ермолино одеяло";13;998;1065;http://alvitek.com.ru/upload/iblock/8fe/8fe2dc1003576d90ea1ead8cf9809236.jpeg;"Одеяло ""Байковые"", хлопок - 100%"
"Одеяло байковое";;Ермолино;Россия;;"ОБ-100х140 57-5ЕТОЖ-красн";100х140;;;;;;;;;;;;;;;;;;;;;;Пакет;;;;470г/м;2000925531939;;Бирюзовый;;;"Тональность изделия может отличаться от фото";;;;;"90% х/б+10%ПАН";"Красное Байковое  100х140  арт. 57-5ЕТОЖ 90% х/б  Ермолино одеяло";12;399;550;http://alvitek.com.ru/upload/iblock/80b/80b813890bef6f0cc963c618b9947d84.jpeg;"Одеяло ""Байковые"", хлопок - 90%, ПАН - 10%"
Наматрасник;Холфит;"AlViTek (АльВиТек)";Россия;;НФ-120;120х200;;;;;;;;Холфит-пласт;;;"200 гр/кв.м";;;Полисатин;"100%  пэ";;;;Резинка;"Многоигольная машина";"Бейка ПЭ";"Пакет с ручкой";;;;;4607048003886;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;;"НФ-120  Наматрасник с резинкой ""Холфит-Традиция"" 120х200";8;412;620;http://alvitek.com.ru/upload/iblock/c9b/c9b7c5118c66341fb70fef07f257ee06.jpeg;"наматрасник на резинке с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 200 г./кв.м), чехол - ткань 100% ПЭ, окантовка- бейка ПЭ, бирка, постер, в чемодане"
Подушка;Холфит;"AlViTek (АльВиТек)";Россия;Стандарт;ПБФД-4060;40х60;;Мягкая;;;;;;Холфит-пласт;;;;;;Поликоттон;"70% хлопок/30% полиэстр";;;;;;Кант;Пакет;;;;;4607048003749;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;;"ПБФД-4060 Подушка ""Светлячок"" 40х60";28;126;190;http://alvitek.com.ru/upload/iblock/f03/f03614fab70ee864bc5004e93b259ea6.jpeg;"подушка с отстрочкой: наполнитель ""Холфит-пласт"" 300 г/кв.м, чехол - ткань смесовая (поликоттон; 70% - хлопок/30% - полиэстер; 120 г/кв.м) , кант, бирка, постер, пакет"
Простыня;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-150-БЕЖ;150х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012604;;Бежевый;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-СО-150-БЕЖ Бежевая Простынь ткань Сатин однотонный 150х214";13;528;800;http://alvitek.com.ru/upload/iblock/134/13477fd9bfb77e75588f7af3d9e72c86.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
Простыня;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-150-РОЗ;150х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012611;;Розовый;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-СО-150-РОЗ Розовая Простынь ткань Сатин однотонный 150х214";11;528;800;http://alvitek.com.ru/upload/iblock/47a/47ac18e8b6542cb30e89dd8bb8ea0c63.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
Простыня;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-150-ГОЛ;150х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012598;;Голубой;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-СО-150-ГОЛ Голубая Простынь ткань Сатин однотонный 150х214";11;528;800;http://alvitek.com.ru/upload/iblock/e1f/e1f19ffcba58120d8e48efd35e41e5d0.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
Простыня;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-150-САЛ;150х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012628;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-СО-150-САЛ Салатовая Простынь ткань Сатин однотонный 150х214";13;528;800;http://alvitek.com.ru/upload/iblock/6f2/6f2036b80bfc5cd083b355ace2b1b703.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
Простыня;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-180-БЕЖ;180х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012635;;Бежевый;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-СО-180(180)-БЕЖ Бежевая Простынь ткань Сатин однотонный 180х214";9;626;940;http://alvitek.com.ru/upload/iblock/75d/75d3505968073732b3ed637d73546a33.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
Простыня;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-180-ГОЛ;180х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012642;;Голубой;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-СО-180(180)-ГОЛ Голубая Простынь ткань Сатин однотонный 180х214";9;626;940;http://alvitek.com.ru/upload/iblock/43d/43dbfb421f020fb25c5d5eef13166f08.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
Простыня;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-180-РОЗ;180х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012659;;Розовый;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-СО-180(180)-РОЗ Розовая Простынь ткань Сатин однотонный 180х214";12;626;940;http://alvitek.com.ru/upload/iblock/85d/85d1985ba479eaf1ecaaeffadb75a4b0.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
Простыня;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-180-САЛ;180х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012666;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-СО-180(180)-САЛ Салатовая Простынь ткань Сатин однотонный 180х214";8;626;940;http://alvitek.com.ru/upload/iblock/bee/bee139d79daadcc7188af205cc2aedbb.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
Простыня;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-22-БЕЖ;220х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012673;;Бежевый;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-СО-22-БЕЖ Бежевая Простынь ткань Сатин однотонный 214х220";7;763;1150;http://alvitek.com.ru/upload/iblock/bb0/bb0c83c76156254a3443623d03137896.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
Простыня;;"AlViTek (АльВиТек)";Россия;Люкс;ПР-СО-22-ГОЛ;220х214;;;;;;Обычная;;;;;;;;Сатин;"100% хлопок";;;;;;;"Прямоугольная ПВХ";;;;;4607048012680;;Голубой;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-СО-22-ГОЛ Голубая Простынь ткань Сатин однотонный 214х220";9;763;1150;http://alvitek.com.ru/upload/iblock/20a/20a36e0661a739f6c178950a94f61294.jpeg;"ткань- сатин (хлопок 100%), бирка, постер, пакет"
Пододеяльник;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-15-БЕЖ;;;;;145х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017456;;Бежевый;;;"Тональность изделия может отличаться от фото";;;;;;"ПОД-СО-15-БЕЖ Бежевый пододеяльник Сатин однотонный 145х215";8;927;1395;http://alvitek.com.ru/upload/iblock/195/19520c13ee35d881c55f9c8fb0041fd3.jpeg;
Пододеяльник;;"AlViTek (АльВиТек)";Россия;Стандарт;ПОД-СО-15-БЕЛ;;;;;145х215;;;;;;;;;;Сатин;"100% хлопок";;;Молния;;;;"Прямоугольная ПВХ";;;;;4607048017463;;Белый;;;"Тональность изделия может отличаться от фото";;;;;;"ПОД-СО-15-БЕЛ Белый пододеяльник Сатин однотонный 145х215";8;927;1395;http://alvitek.com.ru/upload/iblock/de8/de8e8f8abe754a1af506e15ac37a9b8e.jpeg;
