"Категория товара";Коллекция;Бренд;"Страна производства";Линейка;Артикул;Размер;"Степень теплоты";"Степень поддержки";"Размер наволочек";"Размер пододеяльника";"Размер простыни";"Тип простыни";Высота;Наполнитель;"Наполнитель чехла";"Наполнитель ядра";"Вес наполнителя";"Вес наполнителя чехла";"Вес наполнителя ядра";Ткань;"Состав ткани";"Тип застежки";"Тип застежки наволочки";"Тип застежки пододеяльника";"Тип крепления";"Тип стежки";Окантовка;Упаковка;"Тип упаковки";"Количество в упаковке";Материал;Плотность;ШтрихКод;Производитель;Цвет;"Ткань верха";"Причина Уценки";Внимание;Размер;"Ткань низ";"Вес изделия в упаковке";"Тип печати";Состав;Номенклатура;Количество;Цена;МРРЦ;Фото;Описание
;;;;;ПР-СО-Р-160-ЧР;;;;;;;;;;;;;;;;;;;;;;;;;;;;2000925580852;;;;;;;;;;;"ПР-СО-Р-160-ЧР Чайная Роза простыня Сатин однотонный на резинке 160х200х25";10;801;1205;http://alvitek.com.ru/upload/iblock/03c/03c089c9d089af64653cf65efb3bfa88.jpeg;"Простыня на резинке. Ткань-100% хлопок(сатин), резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
"Комплект постельного белья";;СайлиД;Китай;;В-26-166;"Семейное (2 пододеяльника)";;;"50х70 (2шт.)+70х70 (2шт.)";150х215-2шт.;250х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514543;;;;;"Тональность изделия может отличаться от фото";;;;;;"B-166 КПБ семейный сатин ""САЙЛИД""";2;3270;4575;http://alvitek.com.ru/upload/iblock/607/6073370aba0c09962f134ce2039b54c5.jpeg;
"Комплект постельного белья";;СайлиД;Китай;;В-26-169;"Семейное (2 пододеяльника)";;;"50х70 (2шт.)+70х70 (2шт.)";150х215-2шт.;250х250;Обычная;;;;;;;;Сатин;"100% хлопок";;Прорезь(запах);Молния;;;;"Квадратная ПВХ";;;;;2000925514574;;;;;"Тональность изделия может отличаться от фото";;;;;;"B-169 КПБ семейный сатин ""САЙЛИД""";1;3270;4575;http://alvitek.com.ru/upload/iblock/cc3/cc39d3971e65a19207b7e176b4be1d42.jpeg;
Плед;;"AlViTek (АльВиТек)";Россия;;Al-150/105-pb;150х200;;;;;;;;;;;;;;Велсофт;;;;;;;;"Сумка с металлическим каркасом";;;;260г/м;2000925577197;;;;;"Тональность изделия может отличаться от фото";;;;;"100% полиэстр";"150/105-pb Микрофибра Бамбук 150х200 Плед AlViTek";5;613;920;http://alvitek.com.ru/upload/iblock/3ad/3adf2fd053697cdb4661b6a0e25f19d9.jpeg;
Плед;;"AlViTek (АльВиТек)";Россия;;Al-150/222-pb;150х200;;;;;;;;;;;;;;Велсофт;;;;;;;;"Сумка с металлическим каркасом";;;;260г/м;2000925577203;;;;;"Тональность изделия может отличаться от фото";;;;;"100% полиэстр";"150/222-pb Микрофибра Бамбук 150х200 Плед AlViTek";5;613;920;http://alvitek.com.ru/upload/iblock/e6e/e6eb7d9f60d052fe35604afbc144724b.jpeg;
Плед;;"AlViTek (АльВиТек)";Россия;;Al-180/105-pb;180х200;;;;;;;;;;;;;;Велсофт;;;;;;;;"Сумка с металлическим каркасом";;;;260г/м;2000925577173;;;;;"Тональность изделия может отличаться от фото";;;;;"100% полиэстр";"180/105-pb Микрофибра Бамбук 180х200 Плед AlViTek";7;726;1090;http://alvitek.com.ru/upload/iblock/6ec/6ec0cbb2eb781d0d91f883a84a9672f6.jpeg;
Плед;;"AlViTek (АльВиТек)";Россия;;Al-180/222-pb;180х200;;;;;;;;;;;;;;Велсофт;;;;;;;;"Сумка с металлическим каркасом";;;;260г/м;2000925577180;;;;;"Тональность изделия может отличаться от фото";;;;;"100% полиэстр";"180/222-pb Микрофибра Бамбук 180х200 Плед AlViTek";6;726;1090;http://alvitek.com.ru/upload/iblock/f9f/f9fef2497e5f509ab3c6c63ed4de2aed.jpeg;
Плед;;"AlViTek (АльВиТек)";Россия;;Al-200/105-pb;200х220;;;;;;;;;;;;;;Велсофт;;;;;;;;"Сумка с металлическим каркасом";;;;260г/м;2000925577166;;;;;"Тональность изделия может отличаться от фото";;;;;"100% полиэстр";"200/105-pb Микрофибра Бамбук 200х220 Плед AlViTek";7;781;1175;http://alvitek.com.ru/upload/iblock/c84/c8403081f8bdf862045bff0a0f14c0f0.jpeg;
Плед;;"AlViTek (АльВиТек)";Россия;;Al-200/222-pb;200х220;;;;;;;;;;;;;;Велсофт;;;;;;;;"Сумка с металлическим каркасом";;;;260г/м;2000925577159;;;;;"Тональность изделия может отличаться от фото";;;;;"100% полиэстр";"200/222-pb Микрофибра Бамбук 200х220 Плед AlViTek";5;781;1175;http://alvitek.com.ru/upload/iblock/98d/98d6c59fb90c44c4569349044fdea359.jpeg;
"Простыня на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-090-БЕЖ;090х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048010617;;Бежевый;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-ПО-Р-090-БЕЖ Бежевая простыня Поплин однотонная на резинке 90х200х25";23;389;590;http://alvitek.com.ru/upload/iblock/baf/bafb30441a8df8f6ab131bcfa9405362.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
"Простыня на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-090-РОЗ;090х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048010631;;Розовый;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-ПО-Р-090-РОЗ Розовая простыня Поплин однотонная на резинке 90х200х25";10;389;590;http://alvitek.com.ru/upload/iblock/742/742c90199e7f691e8bb4e277416b7579.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
"Простыня на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-090-ГОЛ;090х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048010624;;Голубой;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-ПО-Р-090-ГОЛ Голубая простыня Поплин однотонная на резинке 90х200х25";8;389;590;http://alvitek.com.ru/upload/iblock/0bf/0bfb88c9c9907f33f71aec4c52d366e7.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
"Простыня на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-090-САЛ;090х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048010648;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-ПО-Р-090-САЛ Салатовая простыня Поплин однотонная на резинке 90х200х25";9;389;590;http://alvitek.com.ru/upload/iblock/6b6/6b65a39f70adbd237785040c4330be56.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
"Простыня на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-140-БЕЖ;140х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048010655;;Бежевый;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-ПО-Р-140-БЕЖ Бежевая простыня Поплин однотонная на резинке 140х200х25";9;535;810;http://alvitek.com.ru/upload/iblock/bae/baee7222a6d33b33b878dfc1dd907444.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
"Простыня на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-140-ГОЛ;140х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048010662;;Голубой;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-ПО-Р-140-ГОЛ Голубая простыня Поплин однотонная на резинке 140х200х25";13;535;810;http://alvitek.com.ru/upload/iblock/5d5/5d51802e5e55b8afb05ddcadf1f61a59.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
"Простыня на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-140-САЛ;140х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048010686;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-ПО-Р-140-САЛ Салатовая простыня Поплин однотонная на резинке 140х200х25";7;535;810;http://alvitek.com.ru/upload/iblock/981/9817172ef6e25f22020cc50846d5506f.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
"Простыня на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-140-РОЗ;140х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048010679;;Розовый;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-ПО-Р-140-РОЗ Розовая  простыня Поплин однотонная на резинке 140х200х25";8;535;810;http://alvitek.com.ru/upload/iblock/36a/36a82bc9cadc7bd26d67da3c3fb6fc56.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
"Простыня на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-160-БЕЖ;160х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048010693;;Бежевый;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-ПО-Р-160-БЕЖ Бежевая простыня Поплин однотонная на резинке 160х200х25";19;553;835;http://alvitek.com.ru/upload/iblock/b4c/b4c08ec63467d494910ca001fbabe5da.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
"Простыня на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-160-ГОЛ;160х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048010716;;Голубой;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-ПО-Р-160-ГОЛ Голубая простыня Поплин однотонная на резинке 160х200х25";17;553;835;http://alvitek.com.ru/upload/iblock/35d/35d85b0b9b7f58096632e5be0631abb4.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
"Простыня на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-160-САЛ;160х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048010730;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-ПО-Р-160-САЛ Салатовая простыня Поплин однотонная на резинке 160х200х25";17;553;835;http://alvitek.com.ru/upload/iblock/5a1/5a103ef71aba06e7fefa0d3364930217.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
"Простыня на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-160-РОЗ;160х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048010723;;Розовый;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-ПО-Р-160-РОЗ Розовая простыня Поплин однотонная на резинке 160х200х25";9;553;835;http://alvitek.com.ru/upload/iblock/544/544d490e461f6e5c4abc9318747412d5.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
"Простыня на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-180-БЕЖ;180х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048010747;;Бежевый;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-ПО-Р-180(180)-БЕЖ Бежевая простыня Поплин однотонная на резинке 180х200х25";11;615;925;http://alvitek.com.ru/upload/iblock/2ee/2ee9229668c488ba855e81fb5a1b74c0.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
"Простыня на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-180-ГОЛ;180х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048010754;;Голубой;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-ПО-Р-180(180)-ГОЛ Голубая простыня Поплин однотонная на резинке 180х200х25";10;615;925;http://alvitek.com.ru/upload/iblock/a21/a2115e528891b69c1cb5c37760dd6595.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
"Простыня на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-180-САЛ;180х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048010778;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-ПО-Р-180(180)-САЛ Салатовая простыня Поплин однотонная на резинке 180х200х25";9;615;925;http://alvitek.com.ru/upload/iblock/c06/c06406b899a414013dc74732ead067a7.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
"Простыня на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-180-РОЗ;180х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048010761;;Розовый;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-ПО-Р-180(180)-РОЗ Розовая простыня Поплин однотонная на резинке 180х200х25";7;615;925;http://alvitek.com.ru/upload/iblock/8c2/8c204d583f5463448ee9662da2bd94c6.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
"Простыня на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-200-БЕЖ;200х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048010785;;Бежевый;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-ПО-Р-200-БЕЖ Бежевая простыня Поплин однотонная на резинке 200х200х25";6;654;985;http://alvitek.com.ru/upload/iblock/47a/47a6dc67ae97f820ec3728e525952d8e.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
"Простыня на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-200-ГОЛ;200х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048010792;;Голубой;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-ПО-Р-200-ГОЛ Голубая простыня Поплин однотонная на резинке 200х200х25";10;654;985;http://alvitek.com.ru/upload/iblock/247/24719369cb7130d42c9239be22a2029a.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
"Простыня на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-200-РОЗ;200х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048010815;;Розовый;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-ПО-Р-200-РОЗ Розовая простыня Поплин однотонная на резинке 200х200х25";5;654;985;http://alvitek.com.ru/upload/iblock/7c1/7c1c2e928547335cf33fd26c070ba30a.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
"Простыня на резинке";;"AlViTek (АльВиТек)";Россия;Стандарт;ПР-ПО-Р-200-САЛ;200х200+25;;;;;;"На резинке";;;;;;;;Поплин;"100% хлопок";;;;Резинка;;;"Прямоугольная ПВХ";;;;;4607048010822;;Салатовый;;;"Тональность изделия может отличаться от фото";;;;;;"ПР-ПО-Р-200-САЛ Салатовая простыня Поплин однотонная на резинке 200х200х25";6;654;985;http://alvitek.com.ru/upload/iblock/719/719be5c4708bb7c0c1977c86a319bd4d.jpeg;"Простыня на резинке. Ткань-100% хлопок, резинка по периметру, высота борта 25см, бирка, упаковка оригинальная"
Полотенце;;BAYRAMALY;Туркмения;;"BAYRAMALY -70х140-оранж";70х140;;;;;;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;410г/м;2000925573762;;;;;"Тональность изделия может отличаться от фото";;;;;;"Оранжевый 70х140 Полотенца махровое  1 шт BAYRAMALY";27;247;0;http://alvitek.com.ru/upload/iblock/a2b/a2b43f9ff6747b9df246cebd4763b195.jpeg;
;;BAYRAMALY;Туркмения;;BAYRAMALY-150-бирюза;;;;;;150х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925573779;;;;;"Тональность изделия может отличаться от фото";;;;;;"Бирюзовая 150х210 Простыня Махровая BAYRAMALY";6;754;0;http://alvitek.com.ru/upload/iblock/a05/a05803f9d90cf8fea44bcc7f1f356e03.jpeg;
;;BAYRAMALY;Туркмения;;BAYRAMALY-150-бордо;;;;;;150х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925573786;;;;;"Тональность изделия может отличаться от фото";;;;;;"Бордовая 150х210 Простыня Махровая BAYRAMALY";8;754;0;http://alvitek.com.ru/upload/iblock/9ea/9ead7e508e9f0ef71e299203aa57209a.jpeg;
;;BAYRAMALY;Туркмения;;BAYRAMALY-150-васил;;;;;;150х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925573793;;;;;"Тональность изделия может отличаться от фото";;;;;;"Васильковая 150х210 Простыня Махровая BAYRAMALY";5;754;0;http://alvitek.com.ru/upload/iblock/a87/a87f7ad693fc430ab9c3b741852a2bcf.jpeg;
;;BAYRAMALY;Туркмения;;BAYRAMALY-150-голубая;;;;;;150х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925573809;;;;;"Тональность изделия может отличаться от фото";;;;;;"Голубая 150х210 Простыня Махровая BAYRAMALY";4;754;0;http://alvitek.com.ru/upload/iblock/242/242fd7ab0f3c938cfac28643fca36a85.jpeg;
;;BAYRAMALY;Туркмения;;BAYRAMALY-150-зеленая;;;;;;150х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925573816;;;;;"Тональность изделия может отличаться от фото";;;;;;"Зеленая 150х210 Простыня Махровая BAYRAMALY";6;754;0;http://alvitek.com.ru/upload/iblock/5af/5afae2adc59de1866b0b330ed3086a65.jpeg;
;;BAYRAMALY;Туркмения;;BAYRAMALY-150-лимонная;;;;;;150х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925573823;;;;;"Тональность изделия может отличаться от фото";;;;;;"Лимонная 150х210 Простыня Махровая BAYRAMALY";7;754;0;http://alvitek.com.ru/upload/iblock/5cd/5cd61cbfab33537c1c816b8d472699f1.jpeg;
;;BAYRAMALY;Туркмения;;BAYRAMALY-150-малиновая;;;;;;150х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925573830;;;;;"Тональность изделия может отличаться от фото";;;;;;"Малиновая 150х210 Простыня Махровая BAYRAMALY";7;754;0;http://alvitek.com.ru/upload/iblock/fab/fabc9045fb52a094de61fe1f6a1535c9.jpeg;
;;BAYRAMALY;Туркмения;;"BAYRAMALY-150-морская вол";;;;;;150х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925573847;;;;;"Тональность изделия может отличаться от фото";;;;;;"Морская волна 150х210 Простыня Махровая BAYRAMALY";10;754;0;http://alvitek.com.ru/upload/iblock/c9c/c9c518440321a213e9a6289d591d9cbd.jpeg;
;;BAYRAMALY;Туркмения;;BAYRAMALY-150-розовая;;;;;;150х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925573861;;;;;"Тональность изделия может отличаться от фото";;;;;;"Розовая 150х210 Простыня Махровая BAYRAMALY";8;754;0;http://alvitek.com.ru/upload/iblock/571/571881c809b67989d6c0483700fb9aba.jpeg;
;;BAYRAMALY;Туркмения;;"BAYRAMALY-150-св. голуб";;;;;;150х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925573878;;;;;"Тональность изделия может отличаться от фото";;;;;;"Светло-голубая 150х210 Простыня Махровая BAYRAMALY";12;754;0;http://alvitek.com.ru/upload/iblock/ca9/ca953bfb1a826e3f827b27b5c99ea65c.jpeg;
;;BAYRAMALY;Туркмения;;"BAYRAMALY-150-св. зеленая";;;;;;150х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925573885;;;;;"Тональность изделия может отличаться от фото";;;;;;"Светло-зеленая 150х210 Простыня Махровая BAYRAMALY";3;754;0;http://alvitek.com.ru/upload/iblock/bff/bff030103280b5aa94894550fa643bb5.jpeg;
;;BAYRAMALY;Туркмения;;"BAYRAMALY-150-св. серая";;;;;;150х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925573908;;;;;"Тональность изделия может отличаться от фото";;;;;;"Светло-серая 150х210 Простыня Махровая BAYRAMALY";13;754;0;http://alvitek.com.ru/upload/iblock/e79/e798c606e0fa3c9d69a8fdfd51b7267d.jpeg;
;;BAYRAMALY;Туркмения;;"BAYRAMALY-150-темно олив";;;;;;150х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925573915;;;;;"Тональность изделия может отличаться от фото";;;;;;"Темно-оливковая 150х210 Простыня Махровая BAYRAMALY";12;754;0;http://alvitek.com.ru/upload/iblock/5d5/5d54be1b8cfb01dc93f8654f640851fd.jpeg;
;;BAYRAMALY;Туркмения;;"BAYRAMALY-150-темно синяя";;;;;;150х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925573922;;;;;"Тональность изделия может отличаться от фото";;;;;;"Темно-синяя 150х210 Простыня Махровая BAYRAMALY";5;754;0;http://alvitek.com.ru/upload/iblock/e05/e054c86f895401a2bf06f48a44dca851.jpeg;
;;BAYRAMALY;Туркмения;;BAYRAMALY-150-шоколад;;;;;;150х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925573939;;;;;"Тональность изделия может отличаться от фото";;;;;;"Шоколад 150х210 Простыня Махровая BAYRAMALY";10;754;0;http://alvitek.com.ru/upload/iblock/901/90144c54c9aca70ce6f32c304df6f881.jpeg;
;;BAYRAMALY;Туркмения;;BAYRAMALY-150-ярко-зелена;;;;;;150х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925573946;;;;;"Тональность изделия может отличаться от фото";;;;;;"Ярко-зеленая 150х210 Простыня Махровая BAYRAMALY";11;754;0;http://alvitek.com.ru/upload/iblock/a66/a66ec349701c67b1a28941a5cf64c17b.jpeg;
;;BAYRAMALY;Туркмения;;BAYRAMALY-180-бирюза;;;;;;180х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925573953;;;;;"Тональность изделия может отличаться от фото";;;;;;"Бирюзовая 180х210 Простыня Махровая BAYRAMALY";4;884;0;http://alvitek.com.ru/upload/iblock/c31/c31695426d1d4b194b0df74f2bb4cca2.jpeg;
;;BAYRAMALY;Туркмения;;BAYRAMALY-180-бордо;;;;;;180х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925573960;;;;;"Тональность изделия может отличаться от фото";;;;;;"Бордовая 180х210 Простыня Махровая BAYRAMALY";6;884;0;http://alvitek.com.ru/upload/iblock/6fc/6fc5b1a6cd3f19374e9495718f9346da.jpeg;
;;BAYRAMALY;Туркмения;;BAYRAMALY-180-васил;;;;;;180х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925573977;;;;;"Тональность изделия может отличаться от фото";;;;;;"Васильковая 180х210 Простыня Махровая BAYRAMALY";11;884;0;http://alvitek.com.ru/upload/iblock/ff6/ff679e2cbdf063c32c253f72f857bccf.jpeg;
;;BAYRAMALY;Туркмения;;BAYRAMALY-180-голубая;;;;;;180х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925573984;;;;;"Тональность изделия может отличаться от фото";;;;;;"Голубая 180х210 Простыня Махровая BAYRAMALY";10;884;0;http://alvitek.com.ru/upload/iblock/673/673ef08f0b377eb6b56f2114c9c43610.jpeg;
;;BAYRAMALY;Туркмения;;BAYRAMALY-180-зеленая;;;;;;180х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925573991;;;;;"Тональность изделия может отличаться от фото";;;;;;"Зеленая 180х210 Простыня Махровая BAYRAMALY";5;884;0;http://alvitek.com.ru/upload/iblock/47b/47b4b621de5b06d2662a3cb3edb9300d.jpeg;
;;BAYRAMALY;Туркмения;;BAYRAMALY-180-лимонная;;;;;;180х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925574004;;;;;"Тональность изделия может отличаться от фото";;;;;;"Лимонная 180х210 Простыня Махровая BAYRAMALY";11;884;0;http://alvitek.com.ru/upload/iblock/d47/d47cd4f49ce15d5b7f1ea5d7fb52190d.jpeg;
;;BAYRAMALY;Туркмения;;BAYRAMALY-180-малиновая;;;;;;180х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925574011;;;;;"Тональность изделия может отличаться от фото";;;;;;"Малиновая 180х210 Простыня Махровая BAYRAMALY";9;884;0;http://alvitek.com.ru/upload/iblock/c63/c638c941a8dc735afb54185b618de18f.jpeg;
;;BAYRAMALY;Туркмения;;"BAYRAMALY-180-морская вол";;;;;;180х210;;;;;;;;;Махра;"100% хлопок";;;;;;;Пакет;;;;390г/м;2000925574028;;;;;"Тональность изделия может отличаться от фото";;;;;;"Морская волна 180х210 Простыня Махровая BAYRAMALY";6;884;0;http://alvitek.com.ru/upload/iblock/262/2623b5c33d5bd59bfa165391f114f396.jpeg;
Одеяло;Холфит;"AlViTek (АльВиТек)";Россия;Традиция;ФБ-15;140х205;Теплое;;;;;;;Холфит-пласт;;;"400 гр/кв.м";;;Полисатин;"100%  пэ";;;;;"Одноигольная машина";Кант;"Сумка оригинальная";;;;;4607048001141;;"Набивной рисунок,может отличаться от цвета на фото";;;"Тональность изделия может отличаться от фото";;;;;;"ФБ-15  Одеяло 140х205 классическое";63;706;1065;http://alvitek.com.ru/upload/iblock/128/128efc9fc8ab0fbfeb1d2f1006ee843e.jpeg;"одеяло с наполнителем - ""Холфит-пласт"" (полое силиконизированное волокно 400 г/кв.м), чехол - ткань смесовая, кант, бирка, постер, в чемодане"
